time,br30_gobgp,br30_jool
92.0,117,117
92.20000004768372,117,117
92.40000009536743,117,117
92.59999990463257,117,117
92.79999995231628,118,118
93.0,119,119
93.29999995231628,120,120
93.5,120,120
93.70000004768372,120,120
93.90000009536743,120,120
94.09999990463257,120,120
94.40000009536743,120,120
94.59999990463257,120,120
94.79999995231628,120,120
95.0,120,120
95.20000004768372,120,120
95.40000009536743,120,120
95.70000004768372,120,120
95.90000009536743,120,120
96.09999990463257,120,120
96.29999995231628,120,120
96.5,120,120
96.70000004768372,120,120
97.0,120,120
97.20000004768372,120,120
97.40000009536743,120,120
97.59999990463257,120,120
97.79999995231628,120,120
98.0,120,120
98.29999995231628,120,120
98.5,120,120
98.70000004768372,120,120
98.90000009536743,120,120
99.09999990463257,120,120
99.29999995231628,120,120
99.59999990463257,120,120
99.79999995231628,120,120
100.0,120,120
100.20000004768372,120,120
100.40000009536743,120,120
100.70000004768372,120,120
100.90000009536743,120,120
101.09999990463257,120,120
101.29999995231628,120,120
101.5,120,120
101.70000004768372,120,120
102.0,120,120
102.20000004768372,120,120
102.40000009536743,120,120
102.59999990463257,120,120
102.79999995231628,120,120
103.09999990463257,120,120
103.29999995231628,120,120
103.5,120,120
103.70000004768372,120,120
103.90000009536743,120,120
104.09999990463257,120,120
104.40000009536743,120,120
104.59999990463257,120,120
104.79999995231628,120,120
105.0,120,120
105.20000004768372,120,120
105.5,120,120
105.70000004768372,120,120
105.90000009536743,120,120
106.09999990463257,120,120
106.29999995231628,120,120
106.5,120,120
106.79999995231628,120,120
107.0,120,120
107.20000004768372,120,120
107.40000009536743,120,120
107.59999990463257,120,120
107.79999995231628,120,120
108.09999990463257,120,120
108.29999995231628,120,120
108.5,120,120
108.70000004768372,120,120
108.90000009536743,120,120
109.09999990463257,120,120
109.40000009536743,120,120
109.59999990463257,120,120
109.79999995231628,120,120
110.0,120,120
110.20000004768372,120,120
110.5,120,120
110.70000004768372,120,120
110.90000009536743,120,120
111.09999990463257,120,120
111.29999995231628,120,120
111.5,120,120
111.79999995231628,120,120
112.0,120,120
112.20000004768372,120,120
112.40000009536743,120,120
112.59999990463257,120,120
112.79999995231628,120,120
113.09999990463257,120,120
113.29999995231628,120,120
113.5,120,120
113.70000004768372,120,120
113.90000009536743,120,120
114.09999990463257,120,120
114.40000009536743,120,120
114.59999990463257,120,120
114.79999995231628,120,120
115.0,120,120
115.20000004768372,120,120
115.5,120,120
115.70000004768372,120,120
115.90000009536743,120,120
116.09999990463257,120,120
116.29999995231628,120,120
116.5,120,120
116.79999995231628,120,120
117.0,120,120
117.20000004768372,120,120
117.40000009536743,120,120
117.59999990463257,120,120
117.90000009536743,120,120
118.09999990463257,120,120
118.29999995231628,120,120
118.5,120,120
118.70000004768372,120,120
119.0,120,120
119.20000004768372,120,120
119.40000009536743,120,120
119.59999990463257,120,120
119.79999995231628,120,120
120.09999990463257,120,120
120.29999995231628,120,120
120.5,120,120
120.70000004768372,120,120
120.90000009536743,120,120
121.20000004768372,120,120
121.40000009536743,120,120
121.59999990463257,120,120
121.79999995231628,120,120
122.0,120,120
122.20000004768372,120,120
122.5,120,120
122.70000004768372,120,120
122.90000009536743,120,120
123.09999990463257,120,120
123.29999995231628,120,120
123.5,120,120
